N,acceptedRows_ci_high,acceptedRows_ci_low,acceptedRows_median,accuracy_ci_high,accuracy_ci_low,accuracy_median,activeAfter_ci_high,activeAfter_ci_low,activeAfter_median,activeBefore_ci_high,activeBefore_ci_low,activeBefore_median,bytesReturned_ci_high,bytesReturned_ci_low,bytesReturned_median,changeRatio_ci_high,changeRatio_ci_low,changeRatio_median,configuration,detected_ci_high,detected_ci_low,detected_median,different_ci_high,different_ci_low,different_median,duplicatesSuppressed_ci_high,duplicatesSuppressed_ci_low,duplicatesSuppressed_median,duplicates_ci_high,duplicates_ci_low,duplicates_median,durationMs_ci_high,durationMs_ci_low,durationMs_median,effects_ci_high,effects_ci_low,effects_median,executionOrder_ci_high,executionOrder_ci_low,executionOrder_median,expected_ci_high,expected_ci_low,expected_median,experiment,firstAccepted_ci_high,firstAccepted_ci_low,firstAccepted_median,inputRows_ci_high,inputRows_ci_low,inputRows_median,logicalWrites_ci_high,logicalWrites_ci_low,logicalWrites_median,missingScopeRejected_ci_high,missingScopeRejected_ci_low,missingScopeRejected_median,observed_ci_high,observed_ci_low,observed_median,p50Ms_ci_high,p50Ms_ci_low,p50Ms_median,p95Ms_ci_high,p95Ms_ci_low,p95Ms_median,p99Ms_ci_high,p99Ms_ci_low,p99Ms_median,physicalWrites_ci_high,physicalWrites_ci_low,physicalWrites_median,processed_ci_high,processed_ci_low,processed_median,profile,quarantined_ci_high,quarantined_ci_low,quarantined_median,recoveredAccuracy_ci_high,recoveredAccuracy_ci_low,recoveredAccuracy_median,repaired_ci_high,repaired_ci_low,repaired_median,resultCount_ci_high,resultCount_ci_low,resultCount_median,rowsExaminedProxy_ci_high,rowsExaminedProxy_ci_low,rowsExaminedProxy_median,runs,staleAccepted_ci_high,staleAccepted_ci_low,staleAccepted_median,visibleLoss_ci_high,visibleLoss_ci_low,visibleLoss_median
10000,9805.0,9789.5,9799.0,,,,,,,,,,,,,,,,SEMIRREALISTA,,,,,,,,,,309.0,296.0,303.5,,,,,,,,,,,,,PG-DQ1,,,,10309.0,10296.0,10303.5,,,,,,,,,,,,,,,,,,,,,,,,,R,219.0,200.5,209.5,,,,1215.0,1183.5,1203.0,,,,,,,30,,,,,,
,,,,,,,,,,,,,,,,,,,IDEMPOTENCIA,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,PG-F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
,,,,,,,983.0,979.0,980.5,983.0,979.0,980.5,,,,,,,INTERRUPCION,,,,,,,,,,,,,,,,,,,,,,,,,PG-F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,REVISION,,,,,,,,,,,,,,,,,,,,,,,,,PG-F3,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.0,0.0,0.0,,,
,,,,,,,,,,,,,,,,,,,CORRUPCION,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,PG-F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,30,,,,,,
,,,,,,,,,,,,,,,,,,,AMBITO,,,,,,,,,,,,,,,,,,,,,,,,,PG-F5,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
50000,,,,,,,,,,,,,76771.5,75184.0,75846.0,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,25.094031249987893,22.13378149998607,23.2450414999621,31.900746874918696,26.31746882497682,27.988587500050194,35.48383097996004,27.7322075899702,29.449660390038044,,,,,,,B,,,,,,,,,,1673.0,1638.5,1653.0,1673.0,1638.5,1653.0,30,,,,,,
50000,,,,,,,,,,,,,76771.5,75184.0,75846.0,,,,C1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,21.378405999974348,18.990489750052802,19.49278149998281,27.091110049979758,23.002555500011656,24.94469984999159,32.03221899992903,24.546893929895013,26.94936617988511,,,,,,,B,,,,,,,,,,1673.0,1638.5,1653.0,1673.0,1638.5,1653.0,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,B0,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,4.136374749999561,3.9065312499999436,3.9756667500003005,5.291482475000565,4.749451524999722,4.936497899999448,6.70936264000024,5.239854820001223,5.869471000000141,,,,,,,R,,,,,,,,,,37.0,33.0,34.5,1000.0,1000.0,1000.0,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,3.520281000000068,3.368041749999975,3.4286042500011717,4.846536199999787,4.255364474999805,4.470195849999936,5.722212640000529,4.600766069999481,4.795968660000467,,,,,,,R,,,,,,,,,,37.0,33.0,34.5,37.0,33.0,34.5,30,,,,,,
1000,,,,,,,,,,,,,1697.5,1512.5,1584.5,,,,C1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,3.5266360000007353,3.27694799999972,3.334260749999885,4.792790700000659,3.939750674999959,4.353914324999594,5.86967621499924,4.653726395000632,5.091242284999362,,,,,,,R,,,,,,,,,,37.0,33.0,34.5,37.0,33.0,34.5,30,,,,,,
10000,,,,,,,,,,,,,15445.0,15044.5,15283.0,,,,B0,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,25.897541749993252,19.789812499999243,22.961895999998887,41.72120724999748,26.68194622500249,32.65168247499677,51.23516405499748,31.158401444996272,38.88079903499893,,,,,,,R,,,,,,,,,,336.5,328.0,333.0,10000.0,10000.0,10000.0,30,,,,,,
10000,,,,,,,,,,,,,15445.0,15044.5,15283.0,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,12.174583500003791,9.191989499999181,10.298343999998906,20.62606982499419,12.296652049992552,14.747539524999228,25.019998519998634,14.133183659996725,17.05288464500376,,,,,,,R,,,,,,,,,,336.5,328.0,333.0,336.5,328.0,333.0,30,,,,,,
10000,,,,,,,,,,,,,15445.0,15044.5,15283.0,,,,C1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,10.345885750000889,7.565052000003561,8.46718725000028,14.687928924993685,10.442114399999987,11.7105955749992,16.234905694993508,11.567024625002595,13.446678715002818,,,,,,,R,,,,,,,,,,336.5,328.0,333.0,336.5,328.0,333.0,30,,,,,,
50000,,,,,,,,,,,,,76771.5,75184.0,75846.0,,,,B0,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,80.25194775000273,70.21833349998633,72.30841700000019,110.73497477500057,81.79692607500908,86.39737439999806,120.44096242999309,87.89085062499944,98.90314747999642,,,,,,,R,,,,,,,,,,1673.0,1638.5,1653.0,50000.0,50000.0,50000.0,30,,,,,,
50000,,,,,,,,,,,,,76771.5,75184.0,75846.0,,,,B1,,,,,,,,,,,,,,,,,,,1.5,0.5,1.0,,,,PG-P1,,,,,,,,,,,,,,,,26.494760750007117,22.46600000000035,24.65703125001164,35.718861474996814,28.714900274988025,31.382281250038062,41.33467053500688,31.32223248000257,34.63786862500798,,,,,,,R,,,,,,,,,,1673.0,1638.5,1653.0,1673.0,1638.5,1653.0,30,,,,,,
